
> neural-bet-predictor@1.0.0 start /home/felipe/neural-bet-predictor
> ts-node src/index.ts

iterations: 500, training error: 0.20648592554040404
iterations: 46000, training error: 0.1586022277506599
iterations: 46500, training error: 0.15779964136156413
iterations: 47000, training error: 0.15605493658698702
iterations: 47500, training error: 0.15448463198511
iterations: 48000, training error: 0.15338637283611942
iterations: 48500, training error: 0.1521809067034326
iterations: 49000, training error: 0.15080669579123535
iterations: 49500, training error: 0.14922801850088283
iterations: 50000, training error: 0.14743972435406721
iterations: 50500, training error: 0.14549516711700167
iterations: 51000, training error: 0.1435665969876375
iterations: 51500, training error: 0.1418594090036372
iterations: 52000, training error: 0.14045909257524364
iterations: 52500, training error: 0.13933845331886377
iterations: 53000, training error: 0.13844269451644042
iterations: 53500, training error: 0.13772133172683027
iterations: 54000, training error: 0.13713282072825816
iterations: 54500, training error: 0.1366440442437437
iterations: 55000, training error: 0.13622860681607724
iterations: 55500, training error: 0.13586792195691463
iterations: 56000, training error: 0.13554758427320074
iterations: 56500, training error: 0.13525658196132934
iterations: 57000, training error: 0.13498756519501032
iterations: 57500, training error: 0.13473282163532088
iterations: 58000, training error: 0.13448722307591418
iterations: 58500, training error: 0.13424468364755537
iterations: 59000, training error: 0.13400066400902072
iterations: 59500, training error: 0.1337450705212522
iterations: 60000, training error: 0.13345919608099324
iterations: 60500, training error: 0.1330947129910762
iterations: 61000, training error: 0.13252491897201132
iterations: 61500, training error: 0.13187748420466344
iterations: 62000, training error: 0.13137016011074457
iterations: 62500, training error: 0.13082168822959048
iterations: 63000, training error: 0.13023056169022046
iterations: 63500, training error: 0.12960644632997256
iterations: 64000, training error: 0.1289624696344148
iterations: 64500, training error: 0.12831333395770889
iterations: 65000, training error: 0.12767289816820654
iterations: 65500, training error: 0.12705157110060153
iterations: 66000, training error: 0.1264587714041584
iterations: 66500, training error: 0.1259013654221725
iterations: 67000, training error: 0.12538323479983038
iterations: 67500, training error: 0.12490522877863566
iterations: 68000, training error: 0.12446734838068257
iterations: 68500, training error: 0.12406807271871138
iterations: 69000, training error: 0.12370468073735813
iterations: 69500, training error: 0.12337472322064164
iterations: 70000, training error: 0.12307428604937741
iterations: 70500, training error: 0.12279966527447055
iterations: 71000, training error: 0.1225480728862532
iterations: 71500, training error: 0.12231558483054598
iterations: 72000, training error: 0.12209945924940634
iterations: 72500, training error: 0.12189764551280638
iterations: 73000, training error: 0.12170730653727718
iterations: 73500, training error: 0.12152554576358562
iterations: 74000, training error: 0.12135025478169324
iterations: 74500, training error: 0.12117931268689826
iterations: 75000, training error: 0.12101037679957999
iterations: 75500, training error: 0.12084246942939898
iterations: 76000, training error: 0.12067499489439497
iterations: 76500, training error: 0.12050982526396743
iterations: 77000, training error: 0.12034969529026222
iterations: 77500, training error: 0.12019782765641823
iterations: 78000, training error: 0.12005579884796282
iterations: 78500, training error: 0.11992337262762028
iterations: 79000, training error: 0.11980020278709098
iterations: 79500, training error: 0.11968423970398791
iterations: 80000, training error: 0.11957443089010536
iterations: 80500, training error: 0.11946895761735235
iterations: 81000, training error: 0.119366510655566
iterations: 81500, training error: 0.11926483652080473
iterations: 82000, training error: 0.11915957369844063
iterations: 82500, training error: 0.11904066263650014
iterations: 83000, training error: 0.11886892495890466
iterations: 83500, training error: 0.11834924763480156
iterations: 84000, training error: 0.11694058750826106
iterations: 84500, training error: 0.11550327555113131
iterations: 85000, training error: 0.11460198525670143
iterations: 85500, training error: 0.1140484922365972
iterations: 86000, training error: 0.1135333522261186
iterations: 86500, training error: 0.11293432436116135
iterations: 87000, training error: 0.11227865430809819
iterations: 87500, training error: 0.11160839412417177
iterations: 88000, training error: 0.11091823784949172
iterations: 88500, training error: 0.11016498435676042
iterations: 89000, training error: 0.1092924368013427
iterations: 89500, training error: 0.10824939555334241
iterations: 90000, training error: 0.10699443179065173
iterations: 90500, training error: 0.10556794743814303
iterations: 91000, training error: 0.10417913164255235
iterations: 91500, training error: 0.10305533784019734
iterations: 92000, training error: 0.10224089415696001
iterations: 92500, training error: 0.1016554760081895
iterations: 93000, training error: 0.10120559803022294
iterations: 93500, training error: 0.10081975830732631
iterations: 94000, training error: 0.10046126840546904
iterations: 94500, training error: 0.10011592019140156
iterations: 95000, training error: 0.09978211119438929
iterations: 95500, training error: 0.09946156632304215
iterations: 96000, training error: 0.09915415086720603
iterations: 96500, training error: 0.09885945433399933
iterations: 97000, training error: 0.0985768201271049
iterations: 97500, training error: 0.0983055709962658
iterations: 98000, training error: 0.09804552983606014
iterations: 98500, training error: 0.09779533016751998
iterations: 99000, training error: 0.09755478368742085
iterations: 99500, training error: 0.09732440911545377
iterations: 100000, training error: 0.09710352760556404
iterations: 100500, training error: 0.09689200159861973
iterations: 101000, training error: 0.09669039668143857
iterations: 101500, training error: 0.0964983493545516
iterations: 102000, training error: 0.09631475864065892
iterations: 102500, training error: 0.09613946135342738
iterations: 103000, training error: 0.0959738821276443
iterations: 103500, training error: 0.09581649093649552
iterations: 104000, training error: 0.09566565116750982
iterations: 104500, training error: 0.09552369253807455
iterations: 105000, training error: 0.09538967250180067
iterations: 105500, training error: 0.09526202149213239
iterations: 106000, training error: 0.09514165808901932
iterations: 106500, training error: 0.09502683454187161
iterations: 107000, training error: 0.09491890966484766
iterations: 107500, training error: 0.094817676073189
iterations: 108000, training error: 0.09471927902839217
iterations: 108500, training error: 0.09462555191079074
iterations: 109000, training error: 0.09453516780218259
iterations: 109500, training error: 0.09445265726477502
iterations: 110000, training error: 0.09437614491295115
iterations: 110500, training error: 0.09430614702711644
iterations: 111000, training error: 0.09424046388182049
iterations: 111500, training error: 0.09418051860952958
iterations: 112000, training error: 0.09413661572655241
iterations: 112500, training error: 0.09410993413180964
iterations: 113000, training error: 0.09411701768582882
iterations: 113500, training error: 0.09415089850417407
iterations: 114000, training error: 0.0942255689438018
iterations: 114500, training error: 0.09435105469343001
iterations: 115000, training error: 0.09451726757363549
iterations: 115500, training error: 0.09467042907982916
iterations: 116000, training error: 0.09476758002365912
iterations: 116500, training error: 0.0947859636230341
iterations: 117000, training error: 0.09475668940984024
iterations: 117500, training error: 0.09472970899161873
iterations: 118000, training error: 0.09472613229633188
iterations: 118500, training error: 0.09476274590036494
iterations: 119000, training error: 0.09482608852418235
iterations: 119500, training error: 0.09489303642352588
iterations: 120000, training error: 0.09494755660890625
iterations: 120500, training error: 0.09498202524784642
iterations: 121000, training error: 0.09501829720265749
iterations: 121500, training error: 0.09505287468932631
iterations: 122000, training error: 0.09508110338537573
iterations: 122500, training error: 0.09511438192922625
iterations: 123000, training error: 0.09514666519209528
iterations: 123500, training error: 0.09517264307229781
iterations: 124000, training error: 0.09518207953396356
iterations: 124500, training error: 0.0952031260142185
iterations: 125000, training error: 0.09521552443871732
iterations: 125500, training error: 0.0952113749819138
iterations: 126000, training error: 0.09520051991601536
iterations: 126500, training error: 0.09518312285308163
iterations: 127000, training error: 0.09515654846106424
iterations: 127500, training error: 0.09511694369768102
iterations: 128000, training error: 0.09507088934645773
iterations: 128500, training error: 0.095019990989884
iterations: 129000, training error: 0.09492473652774076
iterations: 129500, training error: 0.09470782362332539
iterations: 130000, training error: 0.09443107431848709
iterations: 130500, training error: 0.09485739741787222
iterations: 131000, training error: 0.09496541249555651
iterations: 131500, training error: 0.09498995873079838
iterations: 132000, training error: 0.09498015488798581
iterations: 132500, training error: 0.09494634665040719
iterations: 133000, training error: 0.09489781813561836
iterations: 133500, training error: 0.0948360141838597
iterations: 134000, training error: 0.09476803365404088
iterations: 134500, training error: 0.09468870591666854
iterations: 135000, training error: 0.09460794751173943
iterations: 135500, training error: 0.09452433386098284
iterations: 136000, training error: 0.09444028390012811
iterations: 136500, training error: 0.094360810018596
iterations: 137000, training error: 0.09428164877095375
iterations: 137500, training error: 0.09420229984429464
iterations: 138000, training error: 0.09413073938873305
iterations: 138500, training error: 0.09405876726224494
iterations: 139000, training error: 0.09398966425639364
iterations: 139500, training error: 0.0939268303744234
iterations: 140000, training error: 0.09386321783037203
iterations: 140500, training error: 0.09380813702507337
iterations: 141000, training error: 0.09375492370248245
iterations: 141500, training error: 0.09371179728033768
iterations: 142000, training error: 0.09366954066425648
iterations: 142500, training error: 0.09363765711232716
iterations: 143000, training error: 0.09360349679808387
iterations: 143500, training error: 0.09355532497667134
iterations: 144000, training error: 0.08529850656224537
iterations: 144500, training error: 0.08518531096882262
iterations: 145000, training error: 0.08511742570637101
iterations: 145500, training error: 0.08506415178491417
iterations: 146000, training error: 0.08501792174679468
iterations: 146500, training error: 0.08497385989191808
iterations: 147000, training error: 0.0849295392317083
iterations: 147500, training error: 0.0848843842603752
iterations: 148000, training error: 0.08483825776294399
iterations: 148500, training error: 0.08479158240252076
iterations: 149000, training error: 0.08474439602579018
iterations: 149500, training error: 0.08469735095411077
iterations: 150000, training error: 0.08465110110534443
iterations: 150500, training error: 0.08460655346665981
iterations: 151000, training error: 0.08456405943105054
iterations: 151500, training error: 0.08452407054424983
iterations: 152000, training error: 0.08448669378035774
iterations: 152500, training error: 0.08445162906458287
iterations: 153000, training error: 0.08441890331902659
iterations: 153500, training error: 0.08438838855581174
iterations: 154000, training error: 0.08435943553206632
iterations: 154500, training error: 0.0843323658189635
iterations: 155000, training error: 0.0843067183488466
iterations: 155500, training error: 0.08428213230984935
iterations: 156000, training error: 0.08425858170343091
iterations: 156500, training error: 0.08423612019308116
iterations: 157000, training error: 0.08421446557624566
iterations: 157500, training error: 0.08419361085066049
iterations: 158000, training error: 0.0841734527065909
iterations: 158500, training error: 0.0841539725052019
iterations: 159000, training error: 0.08413523672095621
iterations: 159500, training error: 0.08411728425505749
iterations: 160000, training error: 0.0840997953612687
iterations: 160500, training error: 0.08408275830569789
iterations: 161000, training error: 0.08406626853997252
iterations: 161500, training error: 0.08405019844757759
iterations: 162000, training error: 0.08403454355369365
iterations: 162500, training error: 0.08401944094951211
iterations: 163000, training error: 0.08400473692404334
iterations: 163500, training error: 0.08399027217332972
iterations: 164000, training error: 0.0839761987903563
iterations: 164500, training error: 0.08396242877446139
iterations: 165000, training error: 0.08394907538653282
iterations: 165500, training error: 0.08393583395406777
iterations: 166000, training error: 0.08392306923347445
iterations: 166500, training error: 0.08391058735423151
iterations: 167000, training error: 0.08389835791248265
iterations: 167500, training error: 0.08388641196693024
iterations: 168000, training error: 0.0838746960966996
iterations: 168500, training error: 0.08386323025238696
iterations: 169000, training error: 0.08385184677064693
iterations: 169500, training error: 0.08384076764233772
iterations: 170000, training error: 0.08382979918031318
iterations: 170500, training error: 0.08381898440156611
iterations: 171000, training error: 0.08380847432510474
iterations: 171500, training error: 0.08379817544875173
iterations: 172000, training error: 0.0837880152568734
iterations: 172500, training error: 0.08377792995321483
iterations: 173000, training error: 0.08376805405909932
iterations: 173500, training error: 0.08375838389638843
iterations: 174000, training error: 0.0837486865493057
iterations: 174500, training error: 0.083739004640126
iterations: 175000, training error: 0.08372954280345596
iterations: 175500, training error: 0.08372026636426513
iterations: 176000, training error: 0.08371119027537412
iterations: 176500, training error: 0.08370220902161428
iterations: 177000, training error: 0.08369334552103178
iterations: 177500, training error: 0.08368465910653898
iterations: 178000, training error: 0.08367596304850902
iterations: 178500, training error: 0.08366738781383559
iterations: 179000, training error: 0.08365894569065946
iterations: 179500, training error: 0.08365062534372988
iterations: 180000, training error: 0.08364267652906501
iterations: 180500, training error: 0.08363465538855187
iterations: 181000, training error: 0.08362672588685419
iterations: 181500, training error: 0.08361888241869057
iterations: 182000, training error: 0.08361120849816976
iterations: 182500, training error: 0.08360356307987832
iterations: 183000, training error: 0.08359604492039986
iterations: 183500, training error: 0.08358861633782996
iterations: 184000, training error: 0.08358120672532778
iterations: 184500, training error: 0.08357396590881606
iterations: 185000, training error: 0.08356663989468556
iterations: 185500, training error: 0.08355954789888931
iterations: 186000, training error: 0.08355239030691802
iterations: 186500, training error: 0.08354539118666801
iterations: 187000, training error: 0.08353834319917097
iterations: 187500, training error: 0.08353112128270014
iterations: 188000, training error: 0.08352411719843973
iterations: 188500, training error: 0.0835171746889215
iterations: 189000, training error: 0.08351039155730486
iterations: 189500, training error: 0.08350353231750376
iterations: 190000, training error: 0.08349644423731363
iterations: 190500, training error: 0.08348924536918667
iterations: 191000, training error: 0.0834819144660058
iterations: 191500, training error: 0.0834746415785824
iterations: 192000, training error: 0.08346709844772608
iterations: 192500, training error: 0.08345936647212097
iterations: 193000, training error: 0.08345133481701748
iterations: 193500, training error: 0.08344262777948415
iterations: 194000, training error: 0.08343335695948784
iterations: 194500, training error: 0.08342294746839539
iterations: 195000, training error: 0.08341046501554292
iterations: 195500, training error: 0.08339480031948955
iterations: 196000, training error: 0.08337264220759906
iterations: 196500, training error: 0.08333530297681847
iterations: 197000, training error: 0.08325452957105664
iterations: 197500, training error: 0.08302955329453723
iterations: 198000, training error: 0.08276041052864153
iterations: 198500, training error: 0.08264966863582854
iterations: 199000, training error: 0.08256722822589806
iterations: 199500, training error: 0.08249799961498736
iterations: 200000, training error: 0.08243911313279843
iterations: 200500, training error: 0.08238868890787399
iterations: 201000, training error: 0.08234444965368747
iterations: 201500, training error: 0.08230476775518743
iterations: 202000, training error: 0.08226870718267357
iterations: 202500, training error: 0.08223500637509479
iterations: 203000, training error: 0.08220355092732355
iterations: 203500, training error: 0.08217350578961044
iterations: 204000, training error: 0.08214432446397389
iterations: 204500, training error: 0.08211576740250769
iterations: 205000, training error: 0.08208782228968473
iterations: 205500, training error: 0.08206054639724102
iterations: 206000, training error: 0.0820333242875742
iterations: 206500, training error: 0.08200608669448735
iterations: 207000, training error: 0.08197896361113588
iterations: 207500, training error: 0.08195189950983861
iterations: 208000, training error: 0.08192487288998337
iterations: 208500, training error: 0.08189788889483134
iterations: 209000, training error: 0.08187082673781013
iterations: 209500, training error: 0.0818437240685782
iterations: 210000, training error: 0.08181645993456692
iterations: 210500, training error: 0.08178920853259727
iterations: 211000, training error: 0.08176200079747106
iterations: 211500, training error: 0.08173464312248574
iterations: 212000, training error: 0.08170703899450954
iterations: 212500, training error: 0.08167892757465753
iterations: 213000, training error: 0.08165078942599298
iterations: 213500, training error: 0.0816221716306834
iterations: 214000, training error: 0.08159287454591724
iterations: 214500, training error: 0.08156310993496445
iterations: 215000, training error: 0.08153188290959681
iterations: 215500, training error: 0.08149911284065557
iterations: 216000, training error: 0.08146427800378087
iterations: 216500, training error: 0.08142676041258175
iterations: 217000, training error: 0.08138621113865917
iterations: 217500, training error: 0.08134176238653135
iterations: 218000, training error: 0.08129210454055101
iterations: 218500, training error: 0.08123559214121193
iterations: 219000, training error: 0.08117067486756177
iterations: 219500, training error: 0.08109579103584975
iterations: 220000, training error: 0.08101053342680592
iterations: 220500, training error: 0.08091661740845553
iterations: 221000, training error: 0.08081831671853186
iterations: 221500, training error: 0.08072074731672468
iterations: 222000, training error: 0.08062674958060218
iterations: 222500, training error: 0.08053714985244416
iterations: 223000, training error: 0.08045039200959973
iterations: 223500, training error: 0.08036545445978334
iterations: 224000, training error: 0.08028052530637958
iterations: 224500, training error: 0.0801947334612002
iterations: 225000, training error: 0.08010681416623633
iterations: 225500, training error: 0.08001568177761317
iterations: 226000, training error: 0.07991990339969918
iterations: 226500, training error: 0.07981816459039041
iterations: 227000, training error: 0.07970985425813965
iterations: 227500, training error: 0.07959328637427504
iterations: 228000, training error: 0.07946621336625016
iterations: 228500, training error: 0.07932592060626577
iterations: 229000, training error: 0.0791671930944001
iterations: 229500, training error: 0.07898438684089233
iterations: 230000, training error: 0.07876764875616815
iterations: 230500, training error: 0.07850366393949754
iterations: 231000, training error: 0.07817818791543979
iterations: 231500, training error: 0.07777706506857365
iterations: 232000, training error: 0.07729245370441912
iterations: 232500, training error: 0.07672660680997691
iterations: 233000, training error: 0.07609313768521792
iterations: 233500, training error: 0.07541467833841589
iterations: 234000, training error: 0.07471640715871554
iterations: 234500, training error: 0.0740185489830241
iterations: 235000, training error: 0.07333285972663578
iterations: 235500, training error: 0.07266187649314822
iterations: 236000, training error: 0.07200250705430612
iterations: 236500, training error: 0.07134735748759767
iterations: 237000, training error: 0.07069033764367706
iterations: 237500, training error: 0.070017791787371
iterations: 238000, training error: 0.06932099878067863
iterations: 238500, training error: 0.0685896599738821
iterations: 239000, training error: 0.06781880184707549
iterations: 239500, training error: 0.06700999289766864
iterations: 240000, training error: 0.0661732080551658
iterations: 240500, training error: 0.065327538798025
iterations: 241000, training error: 0.06450510683457025
iterations: 241500, training error: 0.06374533912783634
iterations: 242000, training error: 0.06309310395433826
iterations: 242500, training error: 0.06257364069333894
iterations: 243000, training error: 0.062198067383095905
iterations: 243500, training error: 0.06196401738170346
iterations: 244000, training error: 0.061856958168287915
iterations: 244500, training error: 0.061850106608240245
iterations: 245000, training error: 0.06191312632630646
iterations: 245500, training error: 0.0620145165067144
iterations: 246000, training error: 0.062130851608169065
iterations: 246500, training error: 0.062253346054250376
iterations: 247000, training error: 0.06237802289382887
iterations: 247500, training error: 0.06250971946887988
iterations: 248000, training error: 0.06265440256903743
iterations: 248500, training error: 0.06281577195219526
iterations: 249000, training error: 0.06299170678011613
iterations: 249500, training error: 0.06311767657463285
iterations: 250000, training error: 0.07001713484799227
iterations: 250500, training error: 0.06370598759270575
iterations: 251000, training error: 0.0645264691951146
iterations: 251500, training error: 0.06480350763392788
iterations: 252000, training error: 0.06460965048414936
iterations: 252500, training error: 0.06503178327467661
iterations: 253000, training error: 0.06423676668674162
iterations: 253500, training error: 0.06338602017388367
iterations: 254000, training error: 0.06825031921179127
iterations: 254500, training error: 0.05923055015632633
iterations: 255000, training error: 0.06429730003616536
iterations: 255500, training error: 0.06762488113660545
iterations: 256000, training error: 0.07460282996818143
iterations: 256500, training error: 0.06678606014614942
iterations: 257000, training error: 0.06108845606138268
iterations: 257500, training error: 0.0601473231941339
iterations: 258000, training error: 0.059199125666037654
iterations: 258500, training error: 0.058533594035716695
iterations: 259000, training error: 0.05806204781946568
iterations: 259500, training error: 0.05836212536510698
iterations: 260000, training error: 0.06390188571100512
iterations: 260500, training error: 0.057500522704920974
iterations: 261000, training error: 0.062183382070174105
iterations: 261500, training error: 0.05678915114324237
iterations: 262000, training error: 0.05612445102983039
iterations: 262500, training error: 0.056482385015206756
iterations: 263000, training error: 0.05511531920312121
iterations: 263500, training error: 0.061349605197128794
iterations: 264000, training error: 0.054843993187189334
iterations: 264500, training error: 0.057665537364216694
iterations: 265000, training error: 0.05441283604046524
iterations: 265500, training error: 0.05311279699509056
iterations: 266000, training error: 0.053389479670914515
iterations: 266500, training error: 0.05476019507494604
iterations: 267000, training error: 0.05236945679946075
iterations: 267500, training error: 0.05200783465346111
iterations: 268000, training error: 0.05336380584049681
iterations: 268500, training error: 0.06403043010821387
iterations: 269000, training error: 0.06155027169208497
iterations: 269500, training error: 0.05273482728399755
iterations: 270000, training error: 0.05212085502867782
iterations: 270500, training error: 0.051686336798928936
iterations: 271000, training error: 0.05198879386084272
iterations: 271500, training error: 0.04946197017835959
iterations: 272000, training error: 0.05381276629828186
iterations: 272500, training error: 0.054143019587594786
iterations: 273000, training error: 0.050481902307590414
iterations: 273500, training error: 0.04815697205881854
iterations: 274000, training error: 0.0433019588094271
iterations: 274500, training error: 0.04282122115275994
iterations: 275000, training error: 0.04268671685172175
iterations: 275500, training error: 0.04259665223785721
iterations: 276000, training error: 0.04252653446081606
iterations: 276500, training error: 0.04246483486868136
iterations: 277000, training error: 0.04240766153419257
iterations: 277500, training error: 0.042353448622427355
iterations: 278000, training error: 0.04230016070603557
iterations: 278500, training error: 0.04224889100320879
iterations: 279000, training error: 0.042198996962272736
iterations: 279500, training error: 0.04215033729236228
iterations: 280000, training error: 0.04210243154402273
iterations: 280500, training error: 0.04205695622286958
iterations: 281000, training error: 0.04201298564319198
iterations: 281500, training error: 0.04196947437331064
iterations: 282000, training error: 0.041925741776273055
iterations: 282500, training error: 0.04188143814525553
iterations: 283000, training error: 0.04183544533991502
iterations: 283500, training error: 0.0417894258600324
iterations: 284000, training error: 0.04174130494933742
iterations: 284500, training error: 0.04169270027248413
iterations: 285000, training error: 0.041641792382469116
iterations: 285500, training error: 0.04158813643212363
iterations: 286000, training error: 0.04153325314346226
iterations: 286500, training error: 0.041475440847701446
iterations: 287000, training error: 0.0414146506300379
iterations: 287500, training error: 0.04135101953056017
iterations: 288000, training error: 0.04128457162566195
iterations: 288500, training error: 0.04121431356355598
iterations: 289000, training error: 0.041139512272516617
iterations: 289500, training error: 0.041061093244691566
iterations: 290000, training error: 0.04097585386655094
iterations: 290500, training error: 0.04088463758821073
iterations: 291000, training error: 0.040788155149844935
iterations: 291500, training error: 0.040682610165065226
iterations: 292000, training error: 0.040562208588248994
iterations: 292500, training error: 0.040422563770093116
iterations: 293000, training error: 0.040257102899666296
iterations: 293500, training error: 0.040047715275619
iterations: 294000, training error: 0.03976828795563679
iterations: 294500, training error: 0.039292942577381744
iterations: 295000, training error: 0.03569715576768363
iterations: 295500, training error: 0.03513769087128
iterations: 296000, training error: 0.0348737481016139
iterations: 296500, training error: 0.03470548961845333
iterations: 297000, training error: 0.03458284530480743
iterations: 297500, training error: 0.03448729035166831
iterations: 298000, training error: 0.03440854510033945
iterations: 298500, training error: 0.034342342881748346
iterations: 299000, training error: 0.034285043273997985
iterations: 299500, training error: 0.034234930143543056
iterations: 300000, training error: 0.03419012964878637
iterations: 300500, training error: 0.03414995764175071
iterations: 301000, training error: 0.034113437648331656
iterations: 301500, training error: 0.0340801751286112
iterations: 302000, training error: 0.034049921984336
iterations: 302500, training error: 0.034022271527195884
iterations: 303000, training error: 0.033996714207326945
iterations: 303500, training error: 0.03397293472610902
iterations: 304000, training error: 0.03395081190819435
iterations: 304500, training error: 0.033930176086235615
iterations: 305000, training error: 0.03391079433400487
iterations: 305500, training error: 0.03389253033468116
iterations: 306000, training error: 0.03387556872939179
iterations: 306500, training error: 0.03385962677899869
iterations: 307000, training error: 0.033844522800643234
iterations: 307500, training error: 0.033830219064926455
iterations: 308000, training error: 0.03381677940100442
iterations: 308500, training error: 0.03380396498125964
iterations: 309000, training error: 0.03379193758126421
iterations: 309500, training error: 0.03378040221062115
iterations: 310000, training error: 0.03376935829413024
iterations: 310500, training error: 0.033758819771880305
iterations: 311000, training error: 0.033748876541926785
iterations: 311500, training error: 0.033739353426244685
iterations: 312000, training error: 0.033730212489231956
iterations: 312500, training error: 0.03372151538177791
iterations: 313000, training error: 0.03371313784410822
iterations: 313500, training error: 0.03370508646952894
iterations: 314000, training error: 0.033697431934930466
iterations: 314500, training error: 0.03369002956603546
iterations: 315000, training error: 0.03368289870239578
iterations: 315500, training error: 0.03367611044048778
iterations: 316000, training error: 0.03366964973737319
iterations: 316500, training error: 0.03366327337938954
iterations: 317000, training error: 0.03365709680843692
iterations: 317500, training error: 0.03365115293382793
iterations: 318000, training error: 0.03364544413313732
iterations: 318500, training error: 0.03363992731179788
iterations: 319000, training error: 0.03363458378320917
iterations: 319500, training error: 0.03362942399203702
iterations: 320000, training error: 0.03362435568832786
iterations: 320500, training error: 0.03361951200129187
iterations: 321000, training error: 0.03361488239401359
iterations: 321500, training error: 0.03361037316337143
iterations: 322000, training error: 0.033605981970714745
iterations: 322500, training error: 0.033601659144497927
iterations: 323000, training error: 0.0335974939037565
iterations: 323500, training error: 0.03359345436974412
iterations: 324000, training error: 0.03358960798232117
iterations: 324500, training error: 0.0335858977301439
iterations: 325000, training error: 0.03358223080348734
iterations: 325500, training error: 0.03357863603912335
iterations: 326000, training error: 0.0335752215960009
iterations: 326500, training error: 0.03357186795909396
iterations: 327000, training error: 0.03356859442377077
iterations: 327500, training error: 0.033565455555622715
iterations: 328000, training error: 0.03356237368467351
iterations: 328500, training error: 0.03355942020702168
iterations: 329000, training error: 0.033556490163765745
iterations: 329500, training error: 0.033553639871563956
iterations: 330000, training error: 0.03355086711731063
iterations: 330500, training error: 0.03354823870738915
